"id","Antenna...Dish","Type","Applicant","Location","SBL.","Issued","Year","Valuation","Fee.Amount","Location2","lon","lat","Tract"
1564,"PC-0452-14","Road Cut","National Grid","134 Headson Dr","033.-05-17.0","09/22/2014",2014,0,0,NA,NA,NA,NA
1565,"20920","Sign","Han Garam Inc.","2743 Erie Blvd E","033.1-01-09.2","09/21/2015",2015,10000,215,NA,NA,NA,NA
1566,"20476","Sign","Sam's Real Estate","2649 Erie Blvd E","033.1-01-12.0","09/23/2015",2015,1000,80,NA,NA,NA,NA
1567,"18110","Sign","Steven Blumenfeld","2515 Erie Blvd E","033.1-01-14.1","01/08/2015",2015,1500,95,NA,NA,NA,NA
1568,"16618","Sign","SB & JB Investments LLC","2700 Erie Blvd E","034.-01-01.0","09/04/2014",2014,3990,125,NA,NA,NA,NA
1569,"19548","Sign","SB & JB Investments LLC","2700 Erie Blvd E","034.-01-01.0","06/11/2015",2015,500,80,NA,NA,NA,NA
1570,"13176","Sign","Charles Meltzer","2716 Erie Blvd E","034.-01-02.0","10/29/2013",2013,3225,125,NA,NA,NA,NA
1571,"07259","Sign","2760 Erie Realty Llc","2760 Erie Blvd E","034.-01-06.0","07/03/2012",2012,1000,80,NA,NA,NA,NA
1572,"07279","Sign","2780 Erie Realty Llc","2780 Erie Blvd E","034.-01-07.0","07/10/2012",2012,500,80,NA,NA,NA,NA
1573,"PC-0509-15","Road Cut","National Grid","1022 Hazelwood Ave","034.-10-09.0","08/28/2015",2015,0,0,NA,NA,NA,NA
1574,"PC-0458-15","Sidewalk Replace","Michael McConnell Concrete","137 Melbourne Ave","034.-13-14.0","08/04/2015",2015,0,25,NA,NA,NA,NA
1575,"PC-0241-13","Curb Cut","Xiao Feng Huang","2406 Erie Blvd E","035.-01-04.0","07/19/2013",2013,0,0,NA,NA,NA,NA
1576,"22296","Sign","BSW DMW Properties","2410 Erie Blvd E","035.-01-05.0","01/21/2016",2016,11000,230,NA,NA,NA,NA
1577,"PC-0585-15","Public Assembly","Church-Bethany Baptist","149 Beattie St","035.-01-65.1","09/03/2015",2015,0,0,NA,NA,NA,NA
1578,"17954","Sign","2516 Erie Blvd E LLC","2516-26 Erie Blvd E","035.-02-53.3","03/25/2015",2015,4000,150,NA,NA,NA,NA
1579,"PC-0581-15","Sidewalk Replace","Berrios Concrete Specialists","155 Delray Ave","035.-03-17.0","09/16/2015",2015,0,25,NA,NA,NA,NA
1580,"PC-0627-14","Sidewalk Replace","Amy Agnew","175 Fayette Blvd","035.-06-18.0","11/07/2014",2014,0,0,NA,NA,NA,NA
1581,"PC-0269-15","Sidewalk Replace","Michael McConnell Concrete","151 Fayette Blvd","035.-06-23.0","06/17/2015",2015,0,25,NA,NA,NA,NA
1582,"PC-0549-14","Sidewalk Replace","George Lostumbo Concrete Co","160 Ridgeway Ave","035.-07-06.0","10/01/2014",2014,0,0,NA,NA,NA,NA
1583,"06739","Site Work","Dhani & H Verma Realty LLC","1816 Erie Blvd E","036.-01-07.0","06/18/2012",2012,9500,240,NA,NA,NA,NA
1584,"12382","Site Work","Erie Bruce Corp","2108-22 Erie Blvd E & Bruce St","036.-03-01.0","10/11/2013",2013,284000,2301.75,NA,NA,NA,NA
1585,"22683","Sign","2140 Erie Blvd East LLC","2140 Erie Blvd E","036.-03-04.0","03/04/2016",2016,500,80,NA,NA,NA,NA
1586,"PC-0067-16","Public Assembly","Department of Occupational Therapy 
LeMoyne College","140 Genesee Pk Dr","036.-05-06.0","02/25/2016",2016,0,0,NA,NA,NA,NA
1587,"PC-0474-15","Public Assembly","N'namdi Shakir-Muhammad","2016-24 Fayette St E & Ellis St","037.-03-03.0","08/04/2015",2015,0,0,NA,NA,NA,NA
1588,"PC-0104-14","Sidewalk Replace","PLS Construction Co.","2035 Genesee St E","037.-04-24.0","04/22/2014",2014,0,0,NA,NA,NA,NA
1589,"11414","Site Work","Alliance For Peace & Social","2013 Genesee St E","037.-04-27.0","08/01/2014",2014,87000,1435,NA,NA,NA,NA
1590,"13482","Site Work","University Hill Apts Inc","205 Westcott St","037.-04-29.0","01/03/2014",2014,32000,570,NA,NA,NA,NA
1591,"14817","Site Work","University Hill Apartments Inc","205 Westcott St","037.-04-29.0","11/25/2014",2014,80000,1325.25,NA,NA,NA,NA
1592,"PC-0204-13","Curb Cut","VanKeuren Sq Housing Dev","2223 Genesee St E To Lexington","037.-05-18.2","08/27/2013",2013,0,0,NA,NA,NA,NA
1593,"PC-0205-13","Road Cut","VanKeuren Sq Housing Dev","2223 Genesee St E To Lexington","037.-05-18.2","08/27/2013",2013,0,0,NA,NA,NA,NA
1594,"PC-0533-12","Sidewalk Replace","Steve Depalma Construction","348 Bruce St","037.-08-15.0","09/27/2012",2012,0,0,NA,NA,NA,NA
1595,"PC-0558-12","Sidewalk Replace","Steve Depalma Construction","369 Bruce St","037.-09-26.0","10/09/2012",2012,0,0,NA,NA,NA,NA
1596,"PC-0534-12","Sidewalk Replace","Steve Depalma Construction","357 Bruce St","037.-09-29.0","09/27/2012",2012,0,0,NA,NA,NA,NA
1597,"PC-0423-12","Liability Waiver","PODS Enterprises","317 Bruce St","037.-09-39.0","08/03/2012",2012,0,0,NA,NA,NA,NA
1598,"PC-0311-15","Sidewalk Replace","Michael McConnell Concrete","328 Genesee Pk Dr","037.-12-09.0","06/17/2015",2015,0,25,NA,NA,NA,NA
1599,"PC-0424-16","Sidewalk Replace","Michael McConnell Concrete","2700 Genesee St E & Scott Ave","037.-15-01.0","06/13/2016",2016,0,25,NA,NA,NA,NA
1600,"PC-0449-13","Sidewalk Replace","Cynthia Stultz","2686 Genesee St E & Scott Ave","037.-16-11.0","08/29/2013",2013,0,0,NA,NA,NA,NA
1601,"PC-0307-13","Sidewalk Replace","PLS Construction Co.","547 Allen St","037.-20-28.0","06/24/2013",2013,0,0,NA,NA,NA,NA
1602,"PC-0369-13","Sidewalk Replace","CNY Developpment Co.","528 Allen St","037.-21-17.0","07/25/2013",2013,0,0,NA,NA,NA,NA
1603,"PC-0554-14","Road Cut","National Grid","129 Cambridge St","037.-21-44.0","10/22/2014",2014,0,0,NA,NA,NA,NA
1604,"PC-0007-14","Road Cut","National Grid","2004 Genesee St E & Westcott S","037.-22-01.0","02/12/2014",2014,0,0,NA,NA,NA,NA
1605,"PC-0787-15","Loading Zone (Business)","RJ Westcott Holdings LLC","471-89 Westcott St & Harvard","037.-22-30.1","01/20/2016",2016,0,50,NA,NA,NA,NA
1606,"PC-0974-14","Loading Zone (Business)","Lorraine Koury","471-89 Westcott St & Harvard","037.-22-30.1","04/07/2015",2015,0,0,NA,NA,NA,NA
1607,"07276","Site Work","University Hill Apts Inc","321 Westcott St","037.-22-53.0","08/21/2012",2012,9000,225,NA,NA,NA,NA
1608,"PC-0146-13","Curb Cut","University Hill Apts Inc","321 Westcott St","037.-22-53.0","05/10/2013",2013,0,0,NA,NA,NA,NA
1609,"PC-0747-15","Sidewalk Replace","Carmela LaFace c/o Lorenzo Laface","155 Niven St","038.-01-21.0","12/01/2015",2015,0,25,NA,NA,NA,NA
1610,"PC-0678-16","Sidewalk Replace","Pioneer Masonry - Jonathan Burgen","807 Salt Springs Rd","038.-10-34.0","08/19/2016",2016,0,25,NA,NA,NA,NA
1611,"PC-0749-16","Sidewalk Replace","Cynthia Griffin","805 Salt Springs Rd & Seeley","038.-10-35.0","09/12/2016",2016,0,25,NA,NA,NA,NA
1612,"PC-0718-15","Sidewalk Replace","All American Masonry Company","151 Didama St","038.-12-24.0","11/02/2015",2015,0,25,NA,NA,NA,NA
1613,"PC-0410-12","Sidewalk Replace","M. A. Calgnino Concrete Flooring","115 Ferris Ave","038.-14-27.0","07/27/2012",2012,0,0,NA,NA,NA,NA
1614,"PC-0538-13","Road Cut","Robert H Law Inc.","1100 Salt Springs Rd","038.-16-32.0","10/10/2013",2013,0,0,NA,NA,NA,NA
1615,"PC-0619-14","Sidewalk Replace","City Of Syracuse-Hw Smith","1100 Salt Springs Rd","038.-16-32.0","11/06/2014",2014,0,0,NA,NA,NA,NA
1616,"05639","Sign","Syracuse Signage","3229 Genesee St E","038.-16-34.0","03/21/2012",2012,2500,0,NA,NA,NA,NA
1617,"16619","Site Work","Roy Stanley Inc","3107 Genesee St E","038.-16-37.0","09/22/2014",2014,17000,345,NA,NA,NA,NA
1618,"PC-0207-13","Sidewalk Replace","M. A. Calgnino Concrete Flooring","103 Phillips Rd","039.-08-12.0","05/16/2013",2013,0,0,NA,NA,NA,NA
1619,"PC-0405-13","Road Cut","Davis Wallbridge","3800 Genesee St E & Dewitt Rd","040.-05-01.0","08/26/2013",2013,0,0,NA,NA,NA,NA
1620,"PC-0890-16","Sidewalk Replace","Patrick  Corbett","419 Hillsboro Pkwy & Hillsbor","041.-03-11.0","10/25/2016",2016,0,25,NA,NA,NA,NA
1621,"PC-0255-14","Sidewalk Replace","George Lostumbo Concrete Co","414 Hillsboro Pkwy","041.-04-08.0","06/12/2014",2014,0,0,NA,NA,NA,NA
1622,"25809","Site Work","Janice Trowbridge","215 Lockwood Rd","041.-05-20.0","11/01/2016",2016,0,100,NA,NA,NA,NA
1623,"PC-0637-15","Sidewalk Replace","Rhonda Butler","221 Haddon Rd & Lockwood Rd","041.-05-25.0","09/28/2015",2015,0,25,NA,NA,NA,NA
1624,"PC-0501-16","Sidewalk Replace","Steve Depalma Construction","100 Edgemont Dr & Kimber Rd","041.-07-01.0","07/08/2016",2016,0,25,NA,NA,NA,NA
1625,"PC-0499-16","Sidewalk Replace","Steve Depalma Construction","102 Edgemont Dr","041.-07-02.0","07/08/2016",2016,0,25,NA,NA,NA,NA
1626,"PC-0500-16","Sidewalk Replace","Steve Depalma Construction","104 Edgemont Dr","041.-07-03.0","07/08/2016",2016,0,25,NA,NA,NA,NA
1627,"PC-0471-16","Sidewalk Replace","T.D. Palmer Concrete","106 Edgemont Dr","041.-07-04.0","07/07/2016",2016,0,25,NA,NA,NA,NA
1628,"PC-0644-16","Sidewalk Replace","Michael McConnell Concrete","106 Edgemont Dr","041.-07-04.0","08/12/2016",2016,0,25,NA,NA,NA,NA
1629,"PC-0585-16","Sidewalk Replace","Steve Depalma Construction","305 Kimber Rd","041.-07-24.0","07/29/2016",2016,0,25,NA,NA,NA,NA
1630,"PC-0584-16","Sidewalk Replace","Steve Depalma Construction","303 Kimber Rd","041.-07-25.0","07/29/2016",2016,0,25,NA,NA,NA,NA
1631,"PC-0851-16","Sidewalk Replace","Logan Bonney","2838 Genesee St E","042.-01-01.0","10/13/2016",2016,0,25,NA,NA,NA,NA
1632,"PC-0448-13","Sidewalk Replace","Coker Corporation","1427 Meadowbrook Dr & Brookfor","042.-01-08.0","08/29/2013",2013,0,0,NA,NA,NA,NA
1633,"PC-0366-15","Curb Cut","New York State Office of People with 
Developmental Disabilities","101 Bradford Pkwy & Genesee S","042.-01-17.0","10/21/2015",2015,0,0,NA,NA,NA,NA
1634,"PC-0367-15","Road Cut","McGinnis Nelson Construction Inc.","101 Bradford Pkwy & Genesee S","042.-01-17.0","09/29/2015",2015,0,0,NA,NA,NA,NA
1635,"PC-0647-14","Sidewalk Replace","McGinnis Nelson Construction Inc.","101 Bradford Pkwy & Genesee S","042.-01-17.0","05/13/2015",2015,0,25,NA,NA,NA,NA
1636,"PC-0385-12","Road Cut","National Grid","2900-10 Genesee St E & Brookford","042.-02-01.0","08/16/2012",2012,0,0,NA,NA,NA,NA
1637,"12328","Sign","FBBT MS Properties LLC","2922-28 Genesee St E","042.-02-03.0","08/22/2013",2013,2500,110,NA,NA,NA,NA
1638,"PC-0489-13","Sidewalk Replace","Diamond & Thiel Construct Inc","3012-18 Genesee St E & Meadowbroo","042.-03-02.0","09/12/2013",2013,0,0,NA,NA,NA,NA
1639,"PC-0613-14","Sidewalk Replace","CNY Sealing & Plowing","219 Hurlburt Rd","042.-04-13.0","10/30/2014",2014,0,0,NA,NA,NA,NA
1640,"PC-0145-14","Sidewalk Replace","Lostumbo  Ashpalt & Concrete","209 Hurlburt Rd","042.-04-18.2","04/28/2014",2014,0,0,NA,NA,NA,NA
1641,"PC-0347-14","Sidewalk Replace","M. A. Calcagnino Concrete Flooring","118 Harrington Rd","042.-06-11.0","07/14/2014",2014,0,0,NA,NA,NA,NA
1642,"PC-0612-14","Sidewalk Replace","M. A. Calcagnino Concrete Flooring","109 Hatherley Rd","042.-06-24.0","10/28/2014",2014,0,0,NA,NA,NA,NA
1643,"PC-0285-13","Sidewalk Replace","Michael McConnell Concrete","108 Hatherley Rd","042.-07-05.0","06/13/2013",2013,0,0,NA,NA,NA,NA
1644,"PC-0451-12","Sidewalk Replace","Haaf Builders","300 Brookford Rd & Hatherly R","042.-09-01.0","08/24/2012",2012,0,0,NA,NA,NA,NA
1645,"PC-0396-14","Sidewalk Replace","McRae Construction","302 Brookford Rd","042.-09-02.0","08/04/2014",2014,0,0,NA,NA,NA,NA
1646,"PC-0504-15","Sidewalk Replace","M. A. Calcagnino Concrete Flooring","328 Scott Ave","044.-02-16.0","08/21/2015",2015,0,25,NA,NA,NA,NA
1647,"PC-0603-16","Sidewalk Replace","Scott Kraemer","330 Scott Ave","044.-02-17.0","07/29/2016",2016,0,25,NA,NA,NA,NA
1648,"PC-0613-12","Sidewalk Replace","Owen O'Neill","336 Scott Ave","044.-02-20.0","11/14/2012",2012,0,0,NA,NA,NA,NA
1649,"PC-0140-14","Sidewalk Replace","CNY Sealing & Plowing","405 Crawford Ave","044.-02-34.0","05/19/2014",2014,0,0,NA,NA,NA,NA
1650,"PC-0551-15","Sidewalk Replace","Michael McConnell Concrete","1300 Meadowbrook Dr & Scott Av","044.-03-01.0","09/03/2015",2015,0,25,NA,NA,NA,NA
1651,"PC-0714-15","Sidewalk Replace","Terence Aj Mannion","345 Scott Ave","044.-03-37.0","10/28/2015",2015,0,25,NA,NA,NA,NA
1652,"PC-0269-13","Sidewalk Replace","Lostumbo  Ashpalt & Concrete","114 Shirley Rd","044.-05-08.0","06/03/2013",2013,0,0,NA,NA,NA,NA
1653,"07701","Site Work","City Of Syracuse-Petitt","105-07 Victoria Pl","045.-01-23.0","08/21/2012",2012,0,0,NA,NA,NA,NA
1654,"PC-0210-12","Road Cut","Davis Wallbridge","105-07 Victoria Pl","045.-01-23.0","07/19/2012",2012,0,0,NA,NA,NA,NA
1655,"PC-0624-15","Sidewalk Cafe","Taps","515 Westcott St","045.-01-28.0","09/28/2015",2015,0,150,NA,NA,NA,NA
1656,"PC-0199-14","Sidewalk Cafe","Metro Loung & Cafe LLC","503-07 Westcott St & Harvard Pl","045.-01-29.0","05/21/2014",2014,0,0,NA,NA,NA,NA
1657,"PC-0245-12","Sidewalk Cafe","Mom's Diner","503-07 Westcott St & Harvard Pl","045.-01-29.0","05/21/2012",2012,0,0,NA,NA,NA,NA
1658,"PC-0250-15","Sidewalk Cafe","Metro Lounge & Cafe","503-07 Westcott St & Harvard Pl","045.-01-29.0","05/18/2015",2015,0,50,NA,NA,NA,NA
1659,"PC-0291-16","Sidewalk Cafe","Hashmi LLC","503-07 Westcott St & Harvard Pl","045.-01-29.0","05/04/2016",2016,0,50,NA,NA,NA,NA
1660,"PC-0586-13","Sidewalk Replace","Westcott House LLC","229-31 Fellows Ave","045.-03-57.0","11/08/2013",2013,0,0,NA,NA,NA,NA
1661,"PC-0271-16","Sidewalk Replace","Michael McConnell Concrete","208 Crawford Ave","045.-05-11.0","04/27/2016",2016,0,25,NA,NA,NA,NA
1662,"PC-0174-15","Liability Waiver","PODS Enterprises, Inc","103 Crawford Ave","045.-06-19.0","04/29/2015",2015,0,50,NA,NA,NA,NA
1663,"PC-0663-15","Sidewalk Replace","Michael McCarthy","211 Scott Ave","045.-07-29.0","10/27/2015",2015,0,25,NA,NA,NA,NA
1664,"PC-0568-15","Sidewalk Replace","George Lostumbo Concrete Co","230 Scott Ave","045.-09-14.0","09/18/2015",2015,0,25,NA,NA,NA,NA
1665,"PC-0606-15","Sidewalk Replace","George Lostumbo Concrete Co","230 Scott Ave","045.-09-14.0","09/22/2015",2015,0,25,NA,NA,NA,NA
1666,"PC-0325-16","Sidewalk Replace","PLS Construction Co.","211 Crawford Ave","045.-09-33.0","06/03/2016",2016,0,25,NA,NA,NA,NA
1667,"PC-0437-13","Sidewalk Replace","Sgarlata Concrete","308 Scottholm Terr","045.-11-05.0","08/23/2013",2013,0,0,NA,NA,NA,NA
1668,"PC-0438-13","Sidewalk Replace","Sgarlata Concrete","310 Scottholm Terr","045.-11-06.0","08/23/2013",2013,0,0,NA,NA,NA,NA
1669,"PC-0457-15","Sidewalk Replace","Michael McConnell Concrete","300 Houston Ave","045.-12-11.0","08/04/2015",2015,0,25,NA,NA,NA,NA
1670,"PC-0617-14","Sidewalk Replace","Triple R Concrete Contractors","701 Allen St & Clarke St","045.-13-33.0","10/31/2014",2014,0,0,NA,NA,NA,NA
1671,"PC-0388-12","Sidewalk Replace","Maksi's Masonry Corp","134 Clarke St","045.-14-03.0","07/20/2012",2012,0,0,NA,NA,NA,NA
1672,"PC-0582-14","Sidewalk Replace","Olszewski Construction","160 Clarke St & Allen St","045.-14-07.0","10/10/2014",2014,0,0,NA,NA,NA,NA
1673,"PC-0494-12","Sidewalk Replace","Lostumbo  Ashpalt & Concrete","104 Euclid Terr To Strong Ave","045.-15-10.0","09/10/2012",2012,0,0,NA,NA,NA,NA
1674,"PC-0498-12","Sidewalk Replace","Maksi's Masonry Corp","106 Euclid Terr To Strong Ave","045.-15-11.0","09/10/2012",2012,0,0,NA,NA,NA,NA
1675,"PC-0499-12","Sidewalk Replace","Maksi's Masonry Corp","108 Euclid Terr To Strong Ave","045.-15-12.0","09/10/2012",2012,0,0,NA,NA,NA,NA
1676,"PC-0495-12","Sidewalk Replace","Maksi's Masonry Corp","116 Euclid Terr","045.-15-16.0","09/10/2012",2012,0,0,NA,NA,NA,NA
1677,"PC-0496-12","Sidewalk Replace","Maksi's Masonry Corp","117 Euclid Terr To Westcott S","045.-15-18.0","09/10/2012",2012,0,0,NA,NA,NA,NA
1678,"PC-0497-12","Sidewalk Replace","Maksi's Masonry Corp","109 Euclid Terr To Westcott S","045.-15-21.0","09/10/2012",2012,0,0,NA,NA,NA,NA
1679,"PC-0452-12","Sidewalk Replace","Lostumbo Asphalt and Concrete","105 Euclid Terr","045.-15-22.0","08/24/2012",2012,0,0,NA,NA,NA,NA
1680,"PC-0529-12","Sidewalk Replace","Paul Franklin","919 Euclid Ave & Euclid Terr","045.-15-23.0","09/26/2012",2012,0,0,NA,NA,NA,NA
1681,"PC-0421-16","Sidewalk Replace","SSJZ Holdings LLC","767 Westcott St & Euclid Ave","045.-15-26.0","07/07/2016",2016,0,25,NA,NA,NA,NA
1682,"PC-0646-14","Liability Waiver","Westcott House LLC","250 Greenwood Pl","046.-02-16.0","11/24/2014",2014,0,0,NA,NA,NA,NA
1683,"PC-0257-12","Sidewalk Replace","Aaron Stupple","312 Greenwood Pl","046.-02-20.0","05/15/2012",2012,0,0,NA,NA,NA,NA
1684,"PC-0354-16","Sidewalk Replace","Peter Seaton","103 Bristol Pl","046.-03-06.0","06/14/2016",2016,0,25,NA,NA,NA,NA
1685,"PC-0211-14","Road Cut","National Grid","616 Beech St S & Bristol Pl","046.-04-06.0","06/11/2014",2014,0,0,NA,NA,NA,NA
1686,"PC-0491-15","Liability Waiver","U-Pack Moving","740 Beech St S & Trinity Pl","046.-05-13.0","08/14/2015",2015,0,50,NA,NA,NA,NA
1687,"18255","Sign","Allied Sign Company","124-26 Dell St","046.-06-04.0","03/13/2015",2015,2000,95,NA,NA,NA,NA
1688,"PC-0008-13","Sidewalk Replace","Westcott House LLC","508-10 Westcott St","046.-06-06.0","02/04/2013",2013,0,0,NA,NA,NA,NA
1689,"19414","Site Work","RJ Westcott Holdings LLC","522 Westcott St To Beech St S","046.-06-07.0","05/17/2016",2016,110000,1797.75,NA,NA,NA,NA
1690,"PC-0072-13","Sidewalk Cafe","Alto Cinco","524-532 Westcott St","046.-06-08.0","06/12/2013",2013,0,0,NA,NA,NA,NA
1691,"PC-0103-15","Sidewalk Cafe","Alto Cinco","524-532 Westcott St","046.-06-08.0","04/17/2015",2015,0,150,NA,NA,NA,NA
1692,"PC-0108-14","Sidewalk Cafe","Alto Cinco","524-532 Westcott St","046.-06-08.0","04/22/2014",2014,0,0,NA,NA,NA,NA
1693,"PC-0128-16","Sidewalk Cafe","Alto Cinco","524-532 Westcott St","046.-06-08.0","04/01/2016",2016,0,150,NA,NA,NA,NA
1694,"PC-0276-14","Sidewalk Cafe","Alto Cinco","524-532 Westcott St","046.-06-08.0","06/30/2014",2014,0,0,NA,NA,NA,NA
1695,"PC-0043-15","Loading Zone (Business)","Westcott Florist","548 Westcott St To Beech St S","046.-06-10.0","02/20/2015",2015,0,25,NA,NA,NA,NA
1696,"PC-0552-16","Loading Zone (Business)","Dino Centra","548 Westcott St To Beech St S","046.-06-10.0","07/18/2016",2016,0,25,NA,NA,NA,NA
1697,"09340","Site Work","Hello Gemmi Baby LLC","108 Avondale Pl","046.-08-05.0","04/11/2013",2013,3800,125,NA,NA,NA,NA
1698,"PC-0018-13","Curb Cut","Hello Gemmi Baby LLC","108 Avondale Pl","046.-08-05.0","03/14/2013",2013,0,0,NA,NA,NA,NA
1699,"PC-0360-14","Liability Waiver","PODS Holding, Inc.","415 Euclid Ave","046.-14-12.0","08/16/2014",2014,0,0,NA,NA,NA,NA
1700,"PC-0421-15","Curb Cut","Syracuse University","Lyons Hall 401 Euclid Ave & Livingston A","046.-14-13.0","12/16/2015",2015,0,0,NA,NA,NA,NA
1701,"PC-0422-15","Road Cut","Ballard Construction","Lyons Hall 401 Euclid Ave & Livingston A","046.-14-13.0","08/13/2015",2015,0,741.26,NA,NA,NA,NA
1702,"PC-0500-12","Sidewalk Replace","Bilt-Well Paving Co.","767 Ostrom Ave","046.-15-19.0","09/10/2012",2012,0,0,NA,NA,NA,NA
1703,"PC-0527-12","Sidewalk Replace","D Norris Construction LLC","106 Clarendon St & Ostrom Ave","046.-15-22.0","09/26/2012",2012,0,0,NA,NA,NA,NA
1704,"PC-0094-15","Liability Waiver","Westcott House LLC","614 Ackerman Ave & Clarendon","046.-16-03.0","04/01/2015",2015,0,50,NA,NA,NA,NA
1705,"PC-0559-12","Sidewalk Replace","Matthew Virginia","731 Ostrom Ave","046.-16-18.0","10/12/2012",2012,0,0,NA,NA,NA,NA
1706,"23235","Sign","Learning Place Inc","1443 Genesee St E","047.-01-17.11","03/29/2016",2016,5000,140,NA,NA,NA,NA
1707,"15637","Sign","Syracuse Quality Living Inc","215-17 Cherry St","047.-04-26.0","06/30/2014",2014,200,80,NA,NA,NA,NA
1708,"17697","Sign","Khaled Alzurqa & Mohamed Jamal 
Alhoshishi","1700-02 Fayette St E & Columbus A","047.-05-01.0","12/29/2014",2014,850,80,NA,NA,NA,NA
1709,"PC-0518-13","Sidewalk Replace","Lostumbo  Ashpalt & Concrete","322 Westcott St","047.-07-11.0","09/30/2013",2013,0,0,NA,NA,NA,NA
1710,"PC-0465-13","Sidewalk Replace","Lostumbo  Ashpalt & Concrete","423-25 Columbus Ave","047.-07-25.0","09/12/2013",2013,0,0,NA,NA,NA,NA
1711,"PC-0140-16","Sidewalk Cafe","Picasso's Pastries and Cafe LLC","466-68 Westcott St & Dell St","047.-08-19.0","04/08/2016",2016,0,50,NA,NA,NA,NA
1712,"PC-0189-14","Sidewalk Cafe","Picasso's Pastries and Cafe","466-68 Westcott St & Dell St","047.-08-19.0","05/29/2014",2014,0,0,NA,NA,NA,NA
1713,"PC-0192-13","Sidewalk Cafe","Picasso's Pastries and Cafe","466-68 Westcott St & Dell St","047.-08-19.0","05/08/2013",2013,0,0,NA,NA,NA,NA
1714,"PC-0249-15","Sidewalk Cafe","Picasso's Pastries and Cafe LLC","466-68 Westcott St & Dell St","047.-08-19.0","05/18/2015",2015,0,50,NA,NA,NA,NA
1715,"PC-0346-13","Liability Waiver","PODS Enterprises","212 Bassett St","047.-13-15.0","07/10/2013",2013,0,0,NA,NA,NA,NA
1716,"06680","Site Work","Syracuse IV Star Redevel LLC","1530-32 Genesee St E","047.-15-08.0","06/26/2012",2012,0,0,NA,NA,NA,NA
1717,"PC-0034-13","Road Cut","Bedford Paving LLC","1530-32 Genesee St E","047.-15-08.0","04/01/2013",2013,0,0,NA,NA,NA,NA
1718,"PC-0361-15","Liability Waiver","Hillside Roosevelt, LLC","1530-32 Genesee St E","047.-15-08.0","07/06/2015",2015,0,50,NA,NA,NA,NA
1719,"PC-0365-12","Sidewalk Replace","Syracuse IV Star Redevel LLC","1530-32 Genesee St E","047.-15-08.0","07/18/2012",2012,0,0,NA,NA,NA,NA
1720,"PC-0195-12","Sidewalk Replace","Housing Visions Partners","425-27 Beech St S","047.-15-25.0","05/15/2012",2012,0,0,NA,NA,NA,NA
1721,"PC-0179-14","Liability Waiver","Front Wheel Productions LLC","1213-1/2 Madison St","047.-16-13.0","05/11/2014",2014,0,0,NA,NA,NA,NA
1722,"PC-0230-12","Liability Waiver","PODS","1102-04 Madison St","047.-19-01.0","05/11/2012",2012,0,0,NA,NA,NA,NA
1723,"PC-0356-12","Sidewalk Replace","Timothy Wayner","1309 Adams St E & Ostrom Ave","047.-20-09.0","06/29/2012",2012,0,0,NA,NA,NA,NA
1724,"22186","Sign","Syracuse University","417 Comstock Ave & Adams St E","047.-21-01.3","03/10/2016",2016,24462,440,NA,NA,NA,NA
1725,"PC-0298-16","Liability Waiver","LCG, Inc","417 Comstock Ave & Adams St E","047.-21-01.3","05/05/2016",2016,0,50,NA,NA,NA,NA
1726,"PC-0040-15","Road Cut","National Grid","712-14 Fayette St E","048.-01-01.0","03/11/2015",2015,0,0,NA,NA,NA,NA
1727,"12340","Sign","Taksum Assoociates LLC","709 Genesee St E To Fayette S","048.-01-10.0","09/13/2013",2013,12400,260,NA,NA,NA,NA
1728,"13917","Site Work","Taksum Associates LLC","709 Genesee St E To Fayette S","048.-01-10.0","11/24/2014",2014,80000,1325,NA,NA,NA,NA
1729,"PC-0492-13","Curb Cut","Taksum Assoociates LLC","709 Genesee St E To Fayette S","048.-01-10.0","12/12/2013",2013,0,0,NA,NA,NA,NA
1730,"PC-0517-13","Road Cut","Paradise General Contractors","709 Genesee St E To Fayette S","048.-01-10.0","12/12/2013",2013,0,0,NA,NA,NA,NA
1731,"PC-0672-16","Road Cut","Northshore Excavating Contractors Inc","709 Genesee St E To Fayette S","048.-01-10.0","08/18/2016",2016,0,0,NA,NA,NA,NA
1732,"SD-13-23","Encroachment (Converted)","PHILLIPS MIRABITO &","709 Genesee St E To Fayette S","048.-01-10.0","10/16/2013",2013,0,0,NA,NA,NA,NA
1733,"SD-13-24","Encroachment (Converted)","PHILLIPS MIRABITO &","709 Genesee St E To Fayette S","048.-01-10.0","10/16/2013",2013,0,0,NA,NA,NA,NA
1734,"PC-0087-15","Sidewalk Cafe","Redfield's","701-05 Genesee St E & Almond St","048.-01-11.0","04/01/2015",2015,0,150,NA,NA,NA,NA
1735,"PC-0196-14","Sidewalk Cafe","Redfield's","701-05 Genesee St E & Almond St","048.-01-11.0","06/10/2014",2014,0,0,NA,NA,NA,NA
1736,"15022","Sign","825 E. Genesee, LLC","825 Genesee St E To Irving Av","048.-03-02.0","04/28/2014",2014,3500,125,NA,NA,NA,NA
1737,"PC-0549-12","Liability Waiver","Roy Stanley","815 Genesee St E To Wellingto","048.-03-04.0","09/27/2012",2012,0,0,NA,NA,NA,NA
1738,"PC-0275-15","Sidewalk Cafe","Vig LLC dba Dolce Vita","907 Genesee St E","048.-04-08.0","05/27/2015",2015,0,100,NA,NA,NA,NA
